,producto,fecha,pais,transporte,kg,tipo
212,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-03-01 00:00:00, Suecia,Carretera,10.0,import
213,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Suecia,Carretera,32.0,import
214,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Suecia,Carretera,9.0,import
215,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Suecia,Carretera,74.0,import
223,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, Austria,Carretera,1890.0,import
235,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, Suiza,Carretera,110000.0,import
236,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-03-01 00:00:00, Suiza,Carretera,132000.0,import
237,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Suiza,Carretera,59400.0,import
250,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Malta,Marítimo,50000.0,import
251,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Malta,Marítimo,50000.0,import
258,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-01-01 00:00:00, Polonia,Carretera,157500.0,import
261,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Polonia,Carretera,23000.0,import
271,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, Rumanía,Carretera,22500.0,import
282,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-01-01 00:00:00, Marruecos,Marítimo,410504.0,import
283,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, Marruecos,Marítimo,611395.0,import
284,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-03-01 00:00:00, Marruecos,Marítimo,1328382.0,import
285,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Marruecos,Marítimo,1542434.0,import
286,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Marruecos,Marítimo,465560.0,import
288,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-01-01 00:00:00, Marruecos,Carretera,70098.0,import
289,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, Marruecos,Carretera,59014.0,import
290,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-03-01 00:00:00, Marruecos,Carretera,70644.0,import
291,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Marruecos,Carretera,55374.0,import
292,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Marruecos,Carretera,58225.0,import
293,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Marruecos,Carretera,52589.0,import
300,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-01-01 00:00:00, Argelia,Marítimo,184440.0,import
301,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, Argelia,Marítimo,23760.0,import
302,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-03-01 00:00:00, Argelia,Marítimo,23760.0,import
313,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, Egipto,Marítimo,75000.0,import
314,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-03-01 00:00:00, Egipto,Marítimo,577500.0,import
315,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Egipto,Marítimo,474000.0,import
316,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Egipto,Marítimo,27500.0,import
320,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-03-01 00:00:00, Egipto,Carretera,220000.0,import
330,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-01-01 00:00:00, Costa de Marfil,Carretera,45547.0,import
346,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Sudáfrica,Carretera,158490.0,import
358,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Estados Unidos,Carretera,360.0,import
359,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Estados Unidos,Carretera,1668.0,import
366,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-01-01 00:00:00, México,Carretera,23.0,import
367,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, México,Carretera,5.0,import
368,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-03-01 00:00:00, México,Carretera,5.0,import
370,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, México,Carretera,58.5,import
380,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-03-01 00:00:00, Perú,Aire,134.0,import
381,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Perú,Aire,209.0,import
382,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Perú,Aire,98.0,import
383,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Perú,Aire,162.0,import
393,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Chipre,Marítimo,24000.0,import
395,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Chipre,Marítimo,24320.0,import
403,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, Israel,Marítimo,405000.0,import
404,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-03-01 00:00:00, Israel,Marítimo,3177900.0,import
405,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Israel,Marítimo,4206600.0,import
