,producto,fecha,pais,transporte,Ton,tipo
339,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Líbano,Carretera,0.12,import
341,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Líbano,Carretera,0.02,import
25,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Francia,Carretera,746.16,import
26,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Francia,Carretera,169.15,import
27,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Francia,Carretera,808.79,import
28,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Francia,Carretera,662.56,import
29,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Francia,Carretera,447.76,import
37,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Países Bajos,Carretera,7056.96,import
38,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Países Bajos,Carretera,5921.32,import
39,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Países Bajos,Carretera,994.51,import
40,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Países Bajos,Carretera,3028.88,import
41,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Países Bajos,Carretera,1335.37,import
49,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Alemania,Carretera,553.04,import
50,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Alemania,Carretera,484.79,import
51,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Alemania,Carretera,552.63,import
52,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Alemania,Carretera,74.59,import
53,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Alemania,Carretera,1.52,import
63,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Italia,Marítimo,4.21,import
65,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Italia,Marítimo,3.7,import
67,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Italia,Carretera,11.14,import
68,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Italia,Carretera,15.08,import
69,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Italia,Carretera,19.23,import
70,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Italia,Carretera,32.7,import
71,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Italia,Carretera,15.2,import
79,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Reino Unido,Carretera,9.08,import
80,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Reino Unido,Carretera,67.93,import
