fila,subfila,columna,subcolumna,valor
"070320 Ajos,  frescos o refrigerados",,809 Nueva Caledonia y dependencias,IMPORT,
"070320 Ajos,  frescos o refrigerados",,"810 Azores(h.31/12/00);O.Am.,Pal.(h.31/12/99);Kirib.(h.31/12/80)",IMPORT,
"070320 Ajos,  frescos o refrigerados",,811 Islas Wallis y Futuna,IMPORT,
"070320 Ajos,  frescos o refrigerados",,812 Kiribati (d.01/01/81),IMPORT,
"070320 Ajos,  frescos o refrigerados",,813 Pitcairn,IMPORT,
"070320 Ajos,  frescos o refrigerados",,814 Oc.Holand.(h.31/12/00); Oc.Neozeland.(h.31/12/99),IMPORT,
"070320 Ajos,  frescos o refrigerados",,815 Islas Fiyi,IMPORT,
"070320 Ajos,  frescos o refrigerados",,816 Vanuatu,IMPORT,
"070320 Ajos,  frescos o refrigerados",,817 Tonga,IMPORT,
"070320 Ajos,  frescos o refrigerados",,819 Samoa Occidental,IMPORT,
"070320 Ajos,  frescos o refrigerados",,820 Islas Marianas del Norte,IMPORT,
"070320 Ajos,  frescos o refrigerados",,822 Polinesia Francesa,IMPORT,
"070320 Ajos,  frescos o refrigerados",,823 Micronesia Estados Federados,IMPORT,
"070320 Ajos,  frescos o refrigerados",,824 Islas Marshall,IMPORT,
"070320 Ajos,  frescos o refrigerados",,825 Palau,IMPORT,
"070320 Ajos,  frescos o refrigerados",,830 Samoa Americana,IMPORT,
"070320 Ajos,  frescos o refrigerados",,831 Guam,IMPORT,
"070320 Ajos,  frescos o refrigerados",,832 Islas Menores alejadas Estados Unidos,IMPORT,
"070320 Ajos,  frescos o refrigerados",,833 Islas Cocos o islas Keeling,IMPORT,
"070320 Ajos,  frescos o refrigerados",,834 Isla Navidad,IMPORT,
"070320 Ajos,  frescos o refrigerados",,835 Isla Heard e Islas McDonald,IMPORT,
"070320 Ajos,  frescos o refrigerados",,836 Isla Norfolk,IMPORT,
"070320 Ajos,  frescos o refrigerados",,837 Islas Cook,IMPORT,
"070320 Ajos,  frescos o refrigerados",,838 Isla Niue,IMPORT,
"070320 Ajos,  frescos o refrigerados",,839 Islas Tokelau,IMPORT,
"070320 Ajos,  frescos o refrigerados",,890 Regiones Polares (h.31/12/00),IMPORT,
"070320 Ajos,  frescos o refrigerados",,891 Antártida,IMPORT,
"070320 Ajos,  frescos o refrigerados",,892 Isla Bouvet,IMPORT,
"070320 Ajos,  frescos o refrigerados",,893 Georgia del Sur e Islas Sandwich Sur,IMPORT,
"070320 Ajos,  frescos o refrigerados",,894 Tierras Australes Francesas,IMPORT,
"070320 Ajos,  frescos o refrigerados",,911 Operaciones Especiales (España) (h.31/12/99),IMPORT,
"070320 Ajos,  frescos o refrigerados",,921 Pesca altura origen España,IMPORT,
"070320 Ajos,  frescos o refrigerados",,922 Pesca altura origen otro estado miembro,IMPORT,
"070320 Ajos,  frescos o refrigerados",,949 Avituallamiento buques aeronaves nacionales,IMPORT,
"070320 Ajos,  frescos o refrigerados",,950 Avituallamiento y combustible,IMPORT,
"070320 Ajos,  frescos o refrigerados",,951 Avituall.y combust.intercambios comunitarios,IMPORT,
"070320 Ajos,  frescos o refrigerados",,952 Avituallamiento terceros,IMPORT,
"070320 Ajos,  frescos o refrigerados",,953 Alta mar fuera de las aguas territoriales,IMPORT,
"070320 Ajos,  frescos o refrigerados",,954 Pesca de altura,IMPORT,
"070320 Ajos,  frescos o refrigerados",,955 Alta mar fuera de las aguas territoriales,IMPORT,
"070320 Ajos,  frescos o refrigerados",,958 Países y territorios no determinados,IMPORT,
"070320 Ajos,  frescos o refrigerados",,959 Países y territorios no determinados.Intraco.,IMPORT,"161,79"
"070320 Ajos,  frescos o refrigerados",,960 Países y territorios no determinados.Extraco.,IMPORT,
"070320 Ajos,  frescos o refrigerados",,975 Países y territ.no precisad.raz.com.Intra. (h.31/12/93),IMPORT,
"070320 Ajos,  frescos o refrigerados",,976 Países y territ.no precisad.raz.com.Extra. (h.31/12/93),IMPORT,
"070320 Ajos,  frescos o refrigerados",,977 Países y territ.no precisad.raz.com.mili.,IMPORT,
"070320 Ajos,  frescos o refrigerados",,978 Países y territ.no prec.raz.com.Intra.;Código País Especial,IMPORT,
"070320 Ajos,  frescos o refrigerados",,979 Países y territ.no prec.raz.com.Extra.,IMPORT,
