fila,subfila,columna,subcolumna,valor
"080910 Albaricoques, frescos",,476 Antillas Neerlandesas (incl.Aruba)(h.31/12/86),IMPORT,
"080910 Albaricoques, frescos",,"477 Bonaire, San Eustaquio y Saba",IMPORT,
"080910 Albaricoques, frescos",,478 Antillas Neerlandesas (d.01/01/87),IMPORT,
"080910 Albaricoques, frescos",,479 San Martín,IMPORT,
"080910 Albaricoques, frescos",,480 Colombia,IMPORT,
"080910 Albaricoques, frescos",,484 Venezuela,IMPORT,
"080910 Albaricoques, frescos",,488 Guyana,IMPORT,
"080910 Albaricoques, frescos",,492 Surinam,IMPORT,
"080910 Albaricoques, frescos",,496 Guyana Francesa (h.31/12/96),IMPORT,
"080910 Albaricoques, frescos",,500 Ecuador,IMPORT,
"080910 Albaricoques, frescos",,504 Perú,IMPORT,
"080910 Albaricoques, frescos",,508 Brasil,IMPORT,
"080910 Albaricoques, frescos",,512 Chile,IMPORT,"7,57"
"080910 Albaricoques, frescos",,516 Bolivia,IMPORT,
"080910 Albaricoques, frescos",,520 Paraguay,IMPORT,
"080910 Albaricoques, frescos",,524 Uruguay,IMPORT,
"080910 Albaricoques, frescos",,528 Argentina,IMPORT,
"080910 Albaricoques, frescos",,529 Islas Malvinas (Falkland),IMPORT,
"080910 Albaricoques, frescos",,600 Chipre,IMPORT,
"080910 Albaricoques, frescos",,604 Líbano,IMPORT,
"080910 Albaricoques, frescos",,608 Siria,IMPORT,
"080910 Albaricoques, frescos",,612 Irak,IMPORT,
"080910 Albaricoques, frescos",,616 Irán,IMPORT,
"080910 Albaricoques, frescos",,624 Israel,IMPORT,
"080910 Albaricoques, frescos",,625 Cisjordania/Franja de Gaza,IMPORT,
"080910 Albaricoques, frescos",,626 Timor-Leste (d.01/01/03);Timor Este (h.31/12/02),IMPORT,
"080910 Albaricoques, frescos",,628 Jordania,IMPORT,
"080910 Albaricoques, frescos",,632 Arabia Saudí,IMPORT,
"080910 Albaricoques, frescos",,636 Kuwait,IMPORT,
"080910 Albaricoques, frescos",,640 Bahrein,IMPORT,
"080910 Albaricoques, frescos",,644 Qatar,IMPORT,
"080910 Albaricoques, frescos",,647 Emiratos Árabes Unidos,IMPORT,
"080910 Albaricoques, frescos",,649 Omán,IMPORT,
"080910 Albaricoques, frescos",,652 Yemen del Norte (h.31/12/90),IMPORT,
"080910 Albaricoques, frescos",,653 Yemen (d.01/01/91),IMPORT,
"080910 Albaricoques, frescos",,656 Yemen del Sur (h.31/12/90),IMPORT,
"080910 Albaricoques, frescos",,660 Afganistán,IMPORT,
"080910 Albaricoques, frescos",,662 Pakistán,IMPORT,
"080910 Albaricoques, frescos",,664 India,IMPORT,
"080910 Albaricoques, frescos",,666 Bangladesh,IMPORT,
"080910 Albaricoques, frescos",,667 Islas Maldivas,IMPORT,
"080910 Albaricoques, frescos",,669 Sri Lanka,IMPORT,
"080910 Albaricoques, frescos",,672 Nepal,IMPORT,
"080910 Albaricoques, frescos",,675 Bután,IMPORT,
"080910 Albaricoques, frescos",,676 Myanmar; (Birmania h.30/06/99),IMPORT,
"080910 Albaricoques, frescos",,680 Tailandia,IMPORT,
"080910 Albaricoques, frescos",,684 Laos,IMPORT,
"080910 Albaricoques, frescos",,690 Vietnam,IMPORT,
"080910 Albaricoques, frescos",,696 Camboya (Campuchea),IMPORT,
"080910 Albaricoques, frescos",,700 Indonesia,IMPORT,
"080910 Albaricoques, frescos",,701 Malasia,IMPORT,
"080910 Albaricoques, frescos",,703 Brunei Darussalam,IMPORT,
"080910 Albaricoques, frescos",,706 Singapur,IMPORT,
"080910 Albaricoques, frescos",,708 Filipinas,IMPORT,
"080910 Albaricoques, frescos",,716 Mongolia,IMPORT,
"080910 Albaricoques, frescos",,720 China,IMPORT,
"080910 Albaricoques, frescos",,724 Corea del Norte (Rep.Pop.Dem.de Corea),IMPORT,
"080910 Albaricoques, frescos",,728 Corea del Sur (Rep. de Corea),IMPORT,
"080910 Albaricoques, frescos",,732 Japón,IMPORT,
"080910 Albaricoques, frescos",,736 Taiwán,IMPORT,
"080910 Albaricoques, frescos",,740 Hong-Kong,IMPORT,
"080910 Albaricoques, frescos",,743 Macao,IMPORT,
"080910 Albaricoques, frescos",,800 Australia,IMPORT,
"080910 Albaricoques, frescos",,801 Papúa Nueva Guinea,IMPORT,
"080910 Albaricoques, frescos",,802 I.Marianas Norte(h.31/12/00);Oc.Australiana(h.31/12/99),IMPORT,
"080910 Albaricoques, frescos",,803 Nauru,IMPORT,
"080910 Albaricoques, frescos",,804 Nueva Zelanda,IMPORT,
"080910 Albaricoques, frescos",,806 Islas Salomon,IMPORT,
"080910 Albaricoques, frescos",,807 Tuvalu,IMPORT,
"080910 Albaricoques, frescos",,808 Azores (I.Salomon) (h.31/12/91),IMPORT,
"080910 Albaricoques, frescos",,809 Nueva Caledonia y dependencias,IMPORT,
"080910 Albaricoques, frescos",,"810 Azores(h.31/12/00);O.Am.,Pal.(h.31/12/99);Kirib.(h.31/12/80)",IMPORT,
"080910 Albaricoques, frescos",,811 Islas Wallis y Futuna,IMPORT,
"080910 Albaricoques, frescos",,812 Kiribati (d.01/01/81),IMPORT,
"080910 Albaricoques, frescos",,813 Pitcairn,IMPORT,
"080910 Albaricoques, frescos",,814 Oc.Holand.(h.31/12/00); Oc.Neozeland.(h.31/12/99),IMPORT,
"080910 Albaricoques, frescos",,815 Islas Fiyi,IMPORT,
"080910 Albaricoques, frescos",,816 Vanuatu,IMPORT,
"080910 Albaricoques, frescos",,817 Tonga,IMPORT,
"080910 Albaricoques, frescos",,819 Samoa Occidental,IMPORT,
"080910 Albaricoques, frescos",,820 Islas Marianas del Norte,IMPORT,
"080910 Albaricoques, frescos",,822 Polinesia Francesa,IMPORT,
"080910 Albaricoques, frescos",,823 Micronesia Estados Federados,IMPORT,
"080910 Albaricoques, frescos",,824 Islas Marshall,IMPORT,
"080910 Albaricoques, frescos",,825 Palau,IMPORT,
"080910 Albaricoques, frescos",,830 Samoa Americana,IMPORT,
"080910 Albaricoques, frescos",,831 Guam,IMPORT,
"080910 Albaricoques, frescos",,832 Islas Menores alejadas Estados Unidos,IMPORT,
"080910 Albaricoques, frescos",,833 Islas Cocos o islas Keeling,IMPORT,
"080910 Albaricoques, frescos",,834 Isla Navidad,IMPORT,
"080910 Albaricoques, frescos",,835 Isla Heard e Islas McDonald,IMPORT,
"080910 Albaricoques, frescos",,836 Isla Norfolk,IMPORT,
"080910 Albaricoques, frescos",,837 Islas Cook,IMPORT,
"080910 Albaricoques, frescos",,838 Isla Niue,IMPORT,
"080910 Albaricoques, frescos",,839 Islas Tokelau,IMPORT,
"080910 Albaricoques, frescos",,890 Regiones Polares (h.31/12/00),IMPORT,
"080910 Albaricoques, frescos",,891 Antártida,IMPORT,
"080910 Albaricoques, frescos",,892 Isla Bouvet,IMPORT,
"080910 Albaricoques, frescos",,893 Georgia del Sur e Islas Sandwich Sur,IMPORT,
"080910 Albaricoques, frescos",,894 Tierras Australes Francesas,IMPORT,
"080910 Albaricoques, frescos",,911 Operaciones Especiales (España) (h.31/12/99),IMPORT,
"080910 Albaricoques, frescos",,921 Pesca altura origen España,IMPORT,
"080910 Albaricoques, frescos",,922 Pesca altura origen otro estado miembro,IMPORT,
"080910 Albaricoques, frescos",,949 Avituallamiento buques aeronaves nacionales,IMPORT,
"080910 Albaricoques, frescos",,950 Avituallamiento y combustible,IMPORT,
"080910 Albaricoques, frescos",,951 Avituall.y combust.intercambios comunitarios,IMPORT,
"080910 Albaricoques, frescos",,952 Avituallamiento terceros,IMPORT,
"080910 Albaricoques, frescos",,953 Alta mar fuera de las aguas territoriales,IMPORT,
"080910 Albaricoques, frescos",,954 Pesca de altura,IMPORT,
"080910 Albaricoques, frescos",,955 Alta mar fuera de las aguas territoriales,IMPORT,
"080910 Albaricoques, frescos",,958 Países y territorios no determinados,IMPORT,
"080910 Albaricoques, frescos",,959 Países y territorios no determinados.Intraco.,IMPORT,
"080910 Albaricoques, frescos",,960 Países y territorios no determinados.Extraco.,IMPORT,
"080910 Albaricoques, frescos",,975 Países y territ.no precisad.raz.com.Intra. (h.31/12/93),IMPORT,
"080910 Albaricoques, frescos",,976 Países y territ.no precisad.raz.com.Extra. (h.31/12/93),IMPORT,
"080910 Albaricoques, frescos",,977 Países y territ.no precisad.raz.com.mili.,IMPORT,
"080910 Albaricoques, frescos",,978 Países y territ.no prec.raz.com.Intra.;Código País Especial,IMPORT,
"080910 Albaricoques, frescos",,979 Países y territ.no prec.raz.com.Extra.,IMPORT,
