fila,subfila,columna,subcolumna,valor
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,007 Irlanda,3  Carretera,"12610,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,007 Irlanda,3  Carretera,"12210,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,007 Irlanda,3  Carretera,"25637,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,007 Irlanda,3  Carretera,"1277998,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,008 Dinamarca,Total modo transporte,"616079,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,008 Dinamarca,Total modo transporte,"137500,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,008 Dinamarca,Total modo transporte,"50720,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,008 Dinamarca,Total modo transporte,"80500,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,008 Dinamarca,Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,008 Dinamarca,Total modo transporte,"22040,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,008 Dinamarca,Total modo transporte,"325319,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,008 Dinamarca,1  Marítimo,"394570,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,008 Dinamarca,1  Marítimo,"137500,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,008 Dinamarca,1  Marítimo,"50720,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,008 Dinamarca,1  Marítimo,"80500,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,008 Dinamarca,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,008 Dinamarca,1  Marítimo,"22040,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,008 Dinamarca,1  Marítimo,"103810,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,008 Dinamarca,3  Carretera,"221509,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,008 Dinamarca,3  Carretera,
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,008 Dinamarca,3  Carretera,
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,008 Dinamarca,3  Carretera,
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,008 Dinamarca,3  Carretera,
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,008 Dinamarca,3  Carretera,
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,008 Dinamarca,3  Carretera,"221509,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,009 Grecia,Total modo transporte,"10266,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,009 Grecia,Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,009 Grecia,Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,009 Grecia,Total modo transporte,"5760,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,009 Grecia,Total modo transporte,"4500,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,009 Grecia,Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,009 Grecia,Total modo transporte,"6,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,009 Grecia,3  Carretera,"10266,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,009 Grecia,3  Carretera,
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,009 Grecia,3  Carretera,
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,009 Grecia,3  Carretera,"5760,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,009 Grecia,3  Carretera,"4500,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,009 Grecia,3  Carretera,
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,009 Grecia,3  Carretera,"6,00"
