,YEAR,TIPO,product,unit,variable,value,DATE
433,2017,mercado,Patata,kg,S37,,2017-09-11
434,2017,consumo,Patata,kg,S37,,2017-09-11
435,2016,origen,Patata ,kg,S37,0.32,2016-09-12
436,2016,mercado,Patata,kg,S37,0.47,2016-09-12
437,2016,consumo,Patata,kg,S37,1.06,2016-09-12
438,2015,origen,Patata ,kg,S37,0.19,2015-09-14
439,2015,mercado,Patata,kg,S37,0.34,2015-09-14
440,2015,consumo,Patata,kg,S37,0.93,2015-09-14
441,2014,origen,Patata ,kg,S37,0.11,2014-09-15
442,2014,mercado,Patata,kg,S37,0.24,2014-09-15
443,2014,consumo,Patata,kg,S37,0.9,2014-09-15
444,2017,origen,Patata ,kg,S38,,2017-09-18
445,2017,mercado,Patata,kg,S38,,2017-09-18
446,2017,consumo,Patata,kg,S38,,2017-09-18
447,2016,origen,Patata ,kg,S38,0.29,2016-09-19
448,2016,mercado,Patata,kg,S38,0.45,2016-09-19
449,2016,consumo,Patata,kg,S38,1.05,2016-09-19
450,2015,origen,Patata ,kg,S38,0.19,2015-09-21
451,2015,mercado,Patata,kg,S38,0.35,2015-09-21
452,2015,consumo,Patata,kg,S38,0.93,2015-09-21
453,2014,origen,Patata ,kg,S38,0.11,2014-09-22
454,2014,mercado,Patata,kg,S38,0.25,2014-09-22
455,2014,consumo,Patata,kg,S38,0.9,2014-09-22
456,2017,origen,Patata ,kg,S39,,2017-09-25
457,2017,mercado,Patata,kg,S39,,2017-09-25
458,2017,consumo,Patata,kg,S39,,2017-09-25
459,2016,origen,Patata ,kg,S39,0.28,2016-09-26
460,2016,mercado,Patata,kg,S39,0.45,2016-09-26
461,2016,consumo,Patata,kg,S39,1.05,2016-09-26
462,2015,origen,Patata ,kg,S39,0.19,2015-09-28
463,2015,mercado,Patata,kg,S39,0.36,2015-09-28
464,2015,consumo,Patata,kg,S39,0.94,2015-09-28
465,2014,origen,Patata ,kg,S39,0.1,2014-09-29
