,producto,fecha,pais,transporte,kg
232,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Suecia, Carretera,0.0
233,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Suecia, Carretera,21.0
234,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Suecia, Carretera,42.0
235,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Suecia, Carretera,0.0
236,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Suecia, Carretera,22.0
237,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Suecia, Carretera,22.0
246,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Marruecos, Carretera,70100.0
247,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Marruecos, Carretera,54243.0
248,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Marruecos, Carretera,53570.0
249,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Marruecos, Carretera,50630.0
250,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Marruecos, Carretera,58010.0
251,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Marruecos, Carretera,59308.0
260,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Argelia, Marítimo,24570.0
261,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Argelia, Marítimo,0.0
262,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Argelia, Marítimo,0.0
263,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Argelia, Marítimo,0.0
264,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Argelia, Marítimo,0.0
265,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Argelia, Marítimo,0.0
274,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Camerún, Carretera,0.0
275,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Camerún, Carretera,0.0
276,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Camerún, Carretera,0.0
277,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Camerún, Carretera,0.0
278,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Camerún, Carretera,0.0
279,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Camerún, Carretera,71580.0
288,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Estados Unidos, Carretera,0.0
289,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Estados Unidos, Carretera,0.0
